Type,District,Street,House,SportType,Phone,Latitude,Longitude
Спортивная площадка,Дзержинский район,Национальная улица,19,"Волейбол, Футбол",+7(383)2409967,55.04867169274059,82.99233382835124
Спортивная площадка,Дзержинский район,Республиканская улица,1,"Футбол, Волейбол",+7(383)2409967,55.06433493949449,82.9618727284034
Спортивная площадка,Железнодорожный район,1905 года улица,30/1,"Волейбол, Футбол",+7(383)2409967,55.042301976946284,82.90532097584976
Спортивная площадка,Железнодорожный район,Нарымская улица,25,"Волейбол, Футбол",+7(383)2409967,55.04505198389985,82.90393715055697
Спортивная площадка,Железнодорожный район,Революции улица,7,"Волейбол, Футбол",+7(383)2409967,55.024983744099515,82.91003513457241
Спортивная площадка,Железнодорожный район,Советская улица,7,"Волейбол, Футбол",+7(383)2409967,55.022587368159435,82.91836277938263
Спортивная площадка,Заельцовский район,Аэропорт улица,53,"Футбол, Волейбол",+7(383)2409967,55.079012536211046,82.90577844601535
Спортивная площадка,Заельцовский район,Дуси Ковальчук улица,14,"Футбол, Волейбол",+7(383)2409967,55.04659211573089,82.88462837191985
Спортивная площадка,Заельцовский район,Кропоткина улица,128,"Футбол, Волейбол",+7(383)2409967,55.05680265277866,82.9357757858791
Спортивная площадка,Заельцовский район,Рельсовая улица,3,"Волейбол, Футбол",+7(383)2409967,55.05432245545044,82.92280980665382
Спортивная площадка,Заельцовский район,Тимирязева улица,93,Футбол,+7(383)2409967,55.06099932361936,82.89783475255362
Спортивная площадка,Калининский район,Богдана Хмельницкого улица,107,Футбол,+7(383)2409967,55.10447394229311,82.98260360462244
Спортивная площадка,Калининский район,Богдана Хмельницкого улица,24,Футбол,+7(383)2409967,55.07104790285077,82.9458148765075
Спортивная площадка,Калининский район,Богдана Хмельницкого улица,8/3,"Волейбол, Футбол",+7(383)2409967,55.06709354420378,82.93829396150905
Спортивная площадка,Калининский район,Макаренко улица,21,Футбол,+7(383),55.09990998084142,82.96510716279064
Спортивная площадка,Калининский район,Объединения улица,39,Футбол,+7(383)2409967,55.09900133337153,82.97490658508843
Спортивная площадка,Калининский район,Столетова улица,32,Футбол,+7(383)2409967,55.10321851125275,82.96734819086468
Спортивная площадка,Калининский район,Целинная улица,29,"Футбол, Волейбол",+7(383)2409967,55.09397540743839,82.93532004051022
Спортивная площадка,Кировский район,3-й Костычева переулок,23,"Баскетбол, Футбол",+7(383)2409967,54.973507493219344,82.87958405551386
Спортивная площадка,Кировский район,Бородина улица,14,"Волейбол, Футбол",+7(383)2409967,54.93191850678067,82.86683972023773
Спортивная площадка,Кировский район,Бурденко улица,30,"Волейбол, Футбол",+7(383)2409967,54.96537449235397,82.91504760782504
Спортивная площадка,Кировский район,Герцена улица,6,"Волейбол, Футбол",+7(383)2409967,54.960594800709885,82.96796555233988
Спортивная площадка,Кировский район,Горбаня улица,5,"Футбол, Волейбол",+7(383)2409967,54.966445354982966,82.91398397417632
Спортивная площадка,Кировский район,Зорге улица,133,Баскетбол,+7(383)2409967,54.934428108834645,82.92461638876985
Спортивная площадка,Кировский район,Зорге улица,74,Баскетбол,+7(383)2409967,54.93112551067582,82.90507960491084
Спортивная площадка,Кировский район,Зорге улица,47/2,Группы здоровья,+7(383)2409967,54.93471649711448,82.91385176019969
Спортивная площадка,Кировский район,Комсомольская улица,31,"Баскетбол, Футбол",+7(383)2409967,54.956751463788954,82.95802117208147
Спортивная площадка,Кировский район,Мира улица,59,Футбол,+7(383)2409967,54.96610261143172,82.922895659184
Спортивная площадка,Кировский район,Саввы Кожевникова улица,13,Баскетбол,+7(383)2409967,54.95984896225976,82.97431616362738
Спортивная площадка,Кировский район,Сибиряков-Гвардейцев улица,44/6,"Волейбол, Футбол",+7(383)2409967,54.966180456575614,82.89766938328816
Спортивная площадка,Кировский район,Сибиряков-Гвардейцев улица,18,Группы здоровья,+7(383)2409967,54.978534398551595,82.8930977961509
